05/25/16,"        11:00 am - 2:00 pm @ 401 Pine St, Seattle, WA 98101, USA",        Lumpia World,        Asian
,        Lumpia World,,
,,,
,        Asian,,
,        More...,,
05/25/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Beanfish,        Asian
,        Beanfish,,
,,,
,        Asian,,
,        More...,,
05/25/16,"        11:00 am - 2:00 pm @ McGraw Square - 531 Stewart St, Seattle, WA 98101, USA",        Buddha Bruddah,        Hawaiian
,        Buddha Bruddah,,
,,,
,        Hawaiian,,
,        More...,,
05/25/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Plum Burgers,        Burgers / Vegan
,        Plum Burgers,,
,,,
,        Burgers / Vegan,,
,        More...,,
05/25/16,"        11:00 am - 2:00 pm @ 600 Olive Way, Seattle, WA 98101, USA",        Tat's Delicatessen,        Sandwiches
,        Tat's Delicatessen,,
,,,
,        Sandwiches,,
,        More...,,
05/25/16,"        4:00 pm - 7:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Seattle Chicken Over Rice,        Mediterranean
,        Seattle Chicken Over Rice,,
,,,
,        Mediterranean,,
,        More...,,
05/25/16,"        4:00 pm - 7:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Beanfish,        Asian / Desserts
,        Beanfish,,
,,,
,        Asian / Desserts,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ 1405 5th Ave, Seattle, WA 98101, USA",        Tat's Delicatessen,        Sandwiches
,        Tat's Delicatessen,,
,,,
,        Sandwiches,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Off The Rez,        Burgers / Native American
,        Off The Rez,,
,,,
,        Burgers / Native American,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Jemil's Big Easy,        Southern / Creole
,        Jemil's Big Easy,,
,,,
,        Southern / Creole,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ 401 Pine St, Seattle, WA 98101, USA",        Savory Eats,        Asian
,        Savory Eats,,
,,,
,        Asian,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Mo Pockets,        Asian
,        Mo Pockets,,
,,,
,        Asian,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ McGraw Square - 531 Stewart St, Seattle, WA 98101, USA",        Skillet Street Food,        Burgers / American
,        Skillet Street Food,,
,,,
,        Burgers / American,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Wet Buns,        Sandwiches
,        Wet Buns,,
,,,
,        Sandwiches,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ Downtown Public Library - 1000 4th Ave, Seattle, WA 98104, USA",        Taco Time,        Mexican
,        Taco Time,,
,,,
,        Mexican,,
,        More...,,
05/26/16,"        11:00 am - 2:00 pm @ 1405 5th Ave, Seattle, WA 98101, USA",        Buddha Bruddah,        Hawaiian
,        Buddha Bruddah,,
,,,
,        Hawaiian,,
,        More...,,
05/26/16,"        4:00 pm - 7:00 pm @ Westlake Park - 401 Pine St, Seattle, WA 98101, USA",        Seattle Chicken Over Rice,        Mediterranean
,        Seattle Chicken Over Rice,,
,,,
,        Mediterranean,,
,More,,
